,Dataset,Method,GEA,GEA_std,GEF,GEF_std
0,mutag,RAND,0.03314186892726529,0.007072281123371899,0.5895622125278052,0.030541813035906078
1,mutag,GRAD,0.014591439680852787,0.006526461885143284,0.5981752585104821,0.030477800506442176
2,mutag,GCAM,0.13849444484804815,0.017967563356800276,0.6724672131430852,0.029179569501792325
3,mutag,GBP,0.04009017354430556,0.00930646383665591,0.6485842954722476,0.02968421349964949
4,mutag,IG,0.038780804138590565,0.010459004505267667,0.44261440159335613,0.03083284461791396
5,mutag,GNNEX,,,,
6,mutag,PGMEX,0.00972762645346952,0.00465954609541266,0.5026175129933703,0.031142516282816883
7,mutag,PGEX,0.047609731228457824,0.005908063343309608,0.5038025268945034,0.031023967919434358
8,mutag,SUBX,0.04539559010159965,0.012320531237810626,0.6112936501431255,0.03037593030208714
9,benzene,RAND,0.09798774408125048,0.003143422164443299,0.5132889170677719,0.012440675911688084
10,benzene,GRAD,0.014612921116935988,0.0016877581894832224,0.2615308231782878,0.010921136917188776
11,benzene,GCAM,0.3356280450998964,0.008293774073755217,0.5510304891809369,0.012386288780089277
12,benzene,GBP,0.08566048772728645,0.0038987553163503763,0.4381584273095619,0.012358788255791996
13,benzene,IG,0.06153535695909972,0.003915640765610565,0.18164668881151655,0.009559280099855197
14,benzene,GNNEX,,,,
15,benzene,PGMEX,0.02667081776226304,0.0015247652112630602,0.43273142214083166,0.012323218987104452
16,benzene,PGEX,0.20724608864187155,0.005245915023503062,0.37492250620713363,0.01203946066910227
17,benzene,SUBX,0.46209032589257343,0.010988840256510157,0.5128720356895055,0.012434621925757852
18,fc,RAND,0.08167626678995539,0.006573029031545984,0.4399730831032967,0.025791858595850245
19,fc,GRAD,0.10726221626165669,0.010460301342376037,0.2103959230903824,0.020957059133518894
20,fc,GCAM,0.029123710083617967,0.0033604966587953574,0.4995629310977019,0.02598328297360227
21,fc,GBP,0.07597299593070403,0.0071290633607126504,0.3153903991204796,0.02411469961732911
22,fc,IG,0.1492451610457377,0.009174008479656087,0.173578179035401,0.019491394261760785
23,fc,GNNEX,,,,
24,fc,PGMEX,0.027548209360881547,0.0036176556767153955,0.42594388679774337,0.02566347883855021
25,fc,PGEX,0.13441127170599237,0.007659167154440963,0.3724955855638867,0.025006218876662475
26,fc,SUBX,0.011210622457842975,0.0021874743607826906,0.4656658748488338,0.025842853099153643
