,Dataset,Method,GEA,GEA_std,GEF,GEF_std
0,mutag,RAND,0.029540420810614924,0.005790546964851454,0.8807143458907994,0.019321460728612478
1,mutag,GRAD,0.014534883713097543,0.006501410563451389,,
2,mutag,GCAM,0.11607087863212473,0.016476394482019395,,
3,mutag,GBP,0.039934785274753984,0.009271689424945002,,
4,mutag,IG,0.03863049094425495,0.01041954579674402,,
5,mutag,GNNEX,0.036331427459143736,0.00608134084521267,0.8807143505113074,0.019321460347390296
6,mutag,PGMEX,0.012273901802271748,0.004966216311277165,,
7,mutag,PGEX,0.047609731228457824,0.005908063343309608,0.8807143475255805,0.01932146058071144
8,mutag,SUBX,0.04521963820198104,0.012274033578087356,,
9,benzene,RAND,0.0651393472912458,0.002474130752682306,0.5558459321409068,0.012376561765453488
10,benzene,GRAD,0.014462383124542144,0.0015877791675336414,,
11,benzene,GCAM,0.4224435063625903,0.010230904915786775,,
12,benzene,GBP,0.08920416798562947,0.004363795857514003,,
13,benzene,IG,0.04389323194266078,0.003734549552240162,,
14,benzene,GNNEX,0.19325154826776733,0.005147307382244201,0.5558459323374585,0.012376561778732887
15,benzene,PGMEX,0.026567040261242562,0.0015223597920950803,,
16,benzene,PGEX,0.20724608864187155,0.005245915023503062,0.5558459312151687,0.012376561789771926
17,benzene,SUBX,0.46209032589257343,0.010988840256510157,,
18,fc,RAND,0.05333858060273028,0.0052931733703355886,0.4967741616504393,0.025986769167053933
19,fc,GRAD,0.07703978756703027,0.008560861303662435,,
20,fc,GCAM,0.0036121056778756332,0.0011431492728616952,0.48638626288830594,0.0259656655804564
21,fc,GBP,0.04298236648290108,0.00612144690583685,,
22,fc,IG,0.08164961759059086,0.006857966659728136,,
23,fc,GNNEX,0.1182326439791652,0.007483044913482218,0.49677416688313614,0.02598676925010101
24,fc,PGMEX,0.02589531679922865,0.0035242160790115258,,
25,fc,PGEX,0.13441127170599237,0.007659167154440963,0.4967741644707163,0.025986769230470948
26,fc,SUBX,0.011210622457842975,0.0021874743607826906,,
