,Dataset,Method,GEA,GEA_std,GEF,GEF_std
0,mutag,RAND,0.019886363630733723,0.004721288244401111,,
1,mutag,GRAD,0.01312934027151753,0.006281988524794105,,
2,mutag,GCAM,0.05041712588329153,0.011342384955748614,,
3,mutag,GBP,0.026591951879358307,0.007137047450996271,,
4,mutag,IG,0.009374999997571614,0.004043278008042616,,
5,mutag,GNNEX,0.033274624995839164,0.005037950985223326,,
6,mutag,PGMEX,0.015624999986816403,0.007109482307089557,,
7,mutag,PGEX,0.047684063206068716,0.005953753825927982,,
8,mutag,SUBX,0.040364583296440965,0.01173653840825234,,
9,benzene,RAND,0.06255791194456284,0.0024369861705750393,0.5535676339392938,0.012327372471642891
10,benzene,GRAD,0.005602417489418779,0.0009236207124382215,,
11,benzene,GCAM,0.2830099234126329,0.007903676160838757,,
12,benzene,GBP,0.1165082607563167,0.005455872959316318,,
13,benzene,IG,0.022196657097473052,0.002894698266406908,,
14,benzene,GNNEX,0.18662814088393684,0.00507158773769523,0.5535676346255599,0.012327372454429856
15,benzene,PGMEX,0.029758214502169866,0.0015892835253334065,,
16,benzene,PGEX,0.2059819719695493,0.005236330456428556,0.5535676341506776,0.012327372465776955
17,benzene,SUBX,0.39426443996245975,0.009431780835827321,,
18,fc,RAND,0.011514997456245154,0.0015253507135522541,,
19,fc,GRAD,0.052409178892281943,0.005038589269044606,,
20,fc,GCAM,0.008155386963660454,0.001370775231255272,,
21,fc,GBP,0.05199766128769531,0.0050121250976689815,,
22,fc,IG,0.0061793904977715825,0.0009401781138551692,,
23,fc,GNNEX,0.027212711216439325,0.0025969755371215084,,
24,fc,PGMEX,0.005871886119822065,0.001007047310556329,,
25,fc,PGEX,0.03338757202851066,0.0030232765105844377,,
26,fc,SUBX,0.0068488006645937224,0.0013575381382926412,,
