,Dataset,Method,GEA,GEA_std,GEF,GEF_std
0,mutag,RAND,0.044,0.007,0.59,0.031
1,mutag,GRAD,0.022,0.006,0.598,0.03
2,mutag,GCAM,0.085,0.012,0.672,0.029
3,mutag,GBP,0.036,0.007,0.649,0.03
4,mutag,IG,0.049,0.01,0.443,0.031
5,mutag,GNNEX,0.031,0.005,0.618,0.03
6,mutag,PGMEX,0.042,0.007,0.503,0.031
7,mutag,PGEX,0.046,0.007,0.504,0.031
8,mutag,SUBX,0.039,0.007,0.611,0.03
9,benzene,RAND,0.108,0.003,0.513,0.012
10,benzene,GRAD,0.122,0.007,0.262,0.011
11,benzene,GCAM,0.291,0.007,0.551,0.012
12,benzene,GBP,0.205,0.007,0.438,0.012
13,benzene,IG,0.044,0.003,0.182,0.01
14,benzene,GNNEX,0.129,0.005,0.444,0.012
15,benzene,PGMEX,0.154,0.006,0.433,0.012
16,benzene,PGEX,0.169,0.007,0.375,0.012
17,benzene,SUBX,0.371,0.009,0.513,0.012
18,fc,RAND,0.087,0.007,0.44,0.26
19,fc,GRAD,0.132,0.01,0.21,0.021
20,fc,GCAM,0.005,0.007,0.5,0.026
21,fc,GBP,0.089,0.01,0.315,0.024
22,fc,IG,0.091,0.007,0.174,0.019
23,fc,GNNEX,0.094,0.009,0.423,0.026
24,fc,PGMEX,0.078,0.008,0.426,0.026
25,fc,PGEX,0.079,0.009,0.372,0.025
26,fc,SUBX,0.008,0.002,0.466,0.026
